Lista de comprobación y resultados de las pruebas: pruebas de diseño,,,,
,,,,
№,Descripción de la supervisión,Estado de la versión 1 Google Chrome 800x600,Estado de la versión 2 Firefox 1920x1080,Enlace al informe de errores
1,"El estado inicial del formulario de pedido: se elige la tarifa ""Casual"" y los campos ""Agregar licencia de conducir"" y ""Método de pago"" están vacíos.",APROBADO,APROBADO,https://andrea-del-pilar19.atlassian.net/issues/?jql=project+%3D+%22AR1G3S%22+ORDER+BY+created+DESC&atlOrigin=eyJpIjoiMDgwMGY1YmRjZTNlNDQ3NTg5ODQzYzEwMDk5MmQwY2YiLCJwIjoiaiJ9
2,"Al seleccional la tarifa ""casual"" aparece el nombre del modelo del vehículo en color negro, con negrita y tamaño de letra grande ",APROBADO,APROBADO,
3,El nombre del modelo del vehículo está centrado ,APROBADO,APROBADO,
4,Debajo del nombre del modelo del vehículo aparece una pequeña descripción de la tarifa en tamaño de letra mediano y color negro ,APROBADO,APROBADO,
5,La descripción de la tarifa está centrada,APROBADO,APROBADO,
6,Debajo de la descripción aparece el ícono de una persona caminando en tamaño pequeño y color gris claro ,NO APROBADO,NO APROBADO,
7,Debajo de la descripción aparece el tiempo que tarda en llegar en tamaño de letra pequeño y color gris claro,APROBADO,APROBADO,
8,Aparece un punto que sirve como separador en color gris claro ,APROBADO,APROBADO,
9,Después del punto aparece el tiempo de espera gratuito en letra pequeña y color gris claro,APROBADO,APROBADO,
10,"El texto del ""tiempo que tarda en llegar"" y del ""tiempo de espera gratuito"" aparece centrado",APROBADO,APROBADO,
11,Debajo del tiempo que tarda en llegar y el tiempo de espera gratuito aparece la imagen del vehículo ,APROBADO,APROBADO,
12,La imagen del vehículo se encuentra centrado,APROBADO,APROBADO,
13,"Debajo de la imagen del vehículo aparecen parámetros adicionales como por ejemplo, ""cámara frontal"" y ""cargador de teléfono"" en letra pequeña y color gris claro ",APROBADO,APROBADO,
14,El texto de los parámetros adicionales se encuentra centrado,APROBADO,APROBADO,
15,"El borde del recuadro en el que aparece el nombre del modelo del vehículo, la descripción, el tiempo que tarda en llegar, el tiempo de espera gratuito, la imagen del vehículo y los parámetros adicionales es de color gris claro",APROBADO,APROBADO,
16,"En el botón de ""Agregar licencia de conducir"" aparece el texto en letra mediana y color gris claro ",APROBADO,APROBADO,
17,"El texto ""Agregar licencia de conducir"" de dicho botón se encuentra alineado a la izquierda",APROBADO,APROBADO,
18,"El botón ""Agregar licencia de conducir"" inicialmente tiene fondo blanco y el borde es gris claro ",APROBADO,APROBADO,
19,"Al lado del texto de ""Agregar licencia de conducir"" aparece el ícono de una flecha en color negro",NO APROBADO,NO APROBADO,
20,"El ícono de la flecha del botón ""Agregar licencia de conducir"" se encuentra alineado a la derecha",OMITIDO,OMITIDO,
21,"Si se agregan correctamente los datos de la licencia de conducir, aparecerá el borde de este botón resaltado en color verde",APROBADO,APROBADO,
22,"Si se agregan correctamente los datos de la licencia de conducir, aparecerá también una marca de verificación de color verde al lado derecho",NO APROBADO,NO APROBADO,
23,"En el botón de ""Método de pago"" aparecen el texto ""Método de pago"" en letra de tamaño mediano y color gris claro",NO APROBADO,NO APROBADO,
24,"En el botón de ""Método de pago"" aparecen el texto ""Agregar"" en letra de tamaño mediano y color gris claro",APROBADO,APROBADO,
25,"En el botón de ""Método de pago"" aparecen el ícono de una tarjeta",APROBADO,APROBADO,
26,"En el botón de ""Método de pago"" aparece el ícono de una flecha al lado del ícono de la tarjeta",APROBADO,APROBADO,
27,"En el botón de ""Metodo de pago"" este texto aparece alineado a la izquierda",APROBADO,APROBADO,
28,"En el botón de ""Metodo de pago"" el texto ""Agregar"" aparece alineado a la derecha",APROBADO,APROBADO,
29,"En el botón ""Método de pago"" el ícono de la tarjeta se encuentra alineado a la derecha, al lado del texto ""Agregar""",APROBADO,APROBADO,
30,"En el botón ""Método de pago"" el ícono de la flecha se encuentra alineado a la derecha al lado del ícono de la tarjeta",APROBADO,APROBADO,
31,"El botón ""Método de pago"" tiene fondo blanco y el borde es gris claro ",APROBADO,APROBADO,
32,"Si se agregan correctamente los datos del ""Método de pago"", este texto de ""Método de pago"" aparece en color negro",APROBADO,APROBADO,
33,"Si se agregan correctamente los datos del ""Método de pago"" el texto ""Agregar"" se sustituye por el texto ""Tarjeta"" en color gris claro",APROBADO,APROBADO,
34,"Debajo del botón de ""Método de pago"" aparece el botón de ""Agregar licencia de conducir y reservar"" con fondo azul y letras blancas, este texto está en un tamaño de letra mediano y con negrita",APROBADO,APROBADO,
35,"En el botón de ""Agregar licencia de conducir y reservar"" debajo de este texto aparece el texto ""el recorrido será de ... kilómetros y se hará en ... minutos"" en letra más pequeña y color blanco ",APROBADO,APROBADO,
36,"Al agregar correctamente los datos, el texto del botón cambia de ""Agregar licencia de conducir y reservar"" a ""Reservar"" ",APROBADO,APROBADO,
37,"Al hacer clic en el botón de ""Reservar"", el texto de  ""el recorrido será de ... kilómetros y se hará en ... minutos"" se elimina",NO APROBADO,NO APROBADO,
38,"En la ventana emergente de ""Automóvil reservado"" este texto aparece alineado a la izquierda",APROBADO,APROBADO,
39,"En la ventana emergente de ""Automóvil reservado"" este texto aparece en tamaño de letra grande y color negro ",APROBADO,APROBADO,
40,"Debajo del texto ""Automóvil reservado"" aparece el texto ""Tiempo de espera gratuito"" alineado a la izquierda",APROBADO,APROBADO,
41,"El texto ""Tiempo de espera gratuito"" aparece en tamaño de letra mediano y color negro",APROBADO,APROBADO,
42,"Al lado de el texto ""Tiempo de espera gratuito"" aparecen los números alineados a la derecha ",APROBADO,APROBADO,
43,"Los números al lado del texto ""Tiempo de espera gratuito"" aparece en tamaño mediano y color negro ",APROBADO,APROBADO,
44,"Debajo del texto ""Tiempo de espera gratuito"" hay una línea divisoria delgada en color gris claro ",APROBADO,APROBADO,
45,"Debajo de la línea divisoria del texto ""Tiempo de espera gratuito"" aparece el nombre del modelo del vehículo en tamaño de letra grande, en negrita y color negro ",NO APROBADO,NO APROBADO,
46,Debajo del nombre del modelo del vehículo aparece una imagen del vehículo centrada,APROBADO,APROBADO,
47,Debajo de la imagen del vehículo aparece una línea divisoria delgada en color gris claro,APROBADO,APROBADO,
48,"Debajo de esta línea aparece un botón de un círculoen color gris claro y con una ""X"" en el centro de color negro ",APROBADO,APROBADO,
49,"Debajo del botón aparece el texto ""Cancelar"" en color gris claro y letra pequeña ",APROBADO,APROBADO,
50,"El texto ""Cancelar"" se encuentra centrado",APROBADO,APROBADO,
51,"Debajo del texto ""Cancelar"" se encuentra una línea divisoria delgada en color gris claro ",APROBADO,APROBADO,
52,Debajo de la línea divisoria aparece alineado a la izquierda un círculo en color azul ,APROBADO,APROBADO,
53,"Al lado del círculo en color azul aparece la dirección que se agregó en el campo ""Desde"" en letra de tamaño mediano y color negro ",APROBADO,APROBADO,
54,La dirección se encuentra alineada a la izquierda,APROBADO,APROBADO,
55,"Debajo de la dirección aparece el texto ""Dirección del automóvil"" en letra pequeña y color gris claro ",APROBADO,APROBADO,
56,"El texto ""Dirección del automóvil"" se encuentra alineado a la izquierda",APROBADO,APROBADO,
57,"Debajo del texto ""Dirección del automóvil"" aparece una línea divisoria delgada, más corta que las demás y en color gris claro",NO APROBADO,NO APROBADO,
58,Debajo de la línea divisoria aparece un ícono de información en color negro ,APROBADO,APROBADO,
59,El ícono de información se encuentra alineado a la izquierda,APROBADO,APROBADO,
60,"Al lado del ícono de información aparece el texto ""Más información sobre el viaje"" con tamaño de letra mediano y color negro ",APROBADO,APROBADO,
61,"El texto ""Más información sobre el viaje"" se encuentra alineado a la izquierda",APROBADO,APROBADO,
62,"Debajo del texto ""Más información sobre el viaje aparece el texto ""Precio"" en letra pequeña y color gris claro ",APROBADO,APROBADO,
63,"Al lado de texto ""Precio"" y divido por una línea aparece el precio en números con letra en tamaño pequeño y color gris claro ",APROBADO,APROBADO,
64,"La ventana emergente de ""Automóvil reservado"" tiene color de fondo blanco",APROBADO,APROBADO,
65,"En caso de hacer clic en el botón de ""Cancelar"" aparece una pestaña emergente con fondo de color blanco ",OMITIDO,OMITIDO,
66,"En la ventana emergente aparece el texto ""¿Seguro que quieres cancelar el viaje?"" con letra en tamaño mediano y color negro ",OMITIDO,OMITIDO,
67,"Debajo del texto  ""¿Seguro que quieres cancelar el viaje?"" aparecen dos botones",OMITIDO,OMITIDO,
68,El botón que se encuentra alineado a la izquierda tiene fondo gris ,OMITIDO,OMITIDO,
69,"El botón que se encuentra alineado a la izquierda tiene el texto ""No"" en color blanco ",OMITIDO,OMITIDO,
70,"El texto ""No"" se encuentra centrado",OMITIDO,OMITIDO,
71,El botón que se encuentra alineado a la derecha tiene fondo azul ,OMITIDO,OMITIDO,
72,"El botón que se encuentra alineado a la derecha tiene el texto ""Si"" en color blanco ",OMITIDO,OMITIDO,
